CNAE;RAT;FPAS;Descrição da atividade
271040;2,00%;507;Fabricação de motores elétricos, peças e acessórios
272100;2,00%;507;Fabricação de pilhas, baterias e acumulad ores elétricos, exceto para veículos
272280;2,00%;507;Fabricação de baterias e acumuladores par a veículos automotores
272280;2,00%;507;Recondicionamento de baterias e acumulado res para veículos automotores
273170;2,00%;507;Fabricação de aparelhos e equipamentos pa ra distribuição e controle de
273250;2,00%;507;Fabricação de material elétrico para inst alações em circuito de consumo
273330;2,00%;507;Fabricação de fios, cabos e condutores el étricos isolados
274060;2,00%;507;Fabricação de lâmpadas
274060;2,00%;507;Fabricação de luminárias e outros equipam entos de iluminação
275110;3,00%;507;Fabricação de fogões, refrigeradores e má quinas de lavar e secar para uso
275970;3,00%;507;Fabricação de aparelhos elétricos de uso pessoal, peças e acessórios
275979;3,00%;507;Fabricação de outros aparelhos eletrodomé sticos não especificados
279020;2,00%;507;Fabricação de eletrodos, contatos e outro s artigos de carvão e grafita para
279020;2,00%;507;Fabricação de equipamentos para sinalizaç ão e alarme
279029;2,00%;507;Fabricação de outros equipamentos e apare lhos elétricos não especificados
281190;2,00%;507;Fabricação de motores e turbinas, peças e  acessórios, exceto para aviões e
281270;2,00%;507;Fabricação de equipamentos hidráulicos e pneumáticos, peças e acessórios,
281350;2,00%;507;Fabricação de válvulas, registros e dispo sitivos semelhantes, peças e
281430;2,00%;507;Fabricação de compressores para uso indus trial, peças e acessórios
281430;2,00%;507;Fabricação de compressores para uso não-i ndustrial, peças e acessórios
281510;2,00%;507;Fabricação de rolamentos para fins indust riais
281510;2,00%;507;Fabricação de equipamentos de transmissão  para fins industriais, exceto
282160;2,00%;507;Fabricação de fornos industriais, aparelh os e equipamentos não-elétricos
282160;2,00%;507;Fabricação de estufas e fornos elétricos para fins industriais, peças e
282240;2,00%;507;Fabricação de máquinas, equipamentos e ap arelhos para transporte e
282240;2,00%;507;Fabricação de máquinas, equipamentos e ap arelhos para transporte e
282320;2,00%;507;Fabricação de máquinas e aparelhos de ref rigeração e ventilação para uso
282410;2,00%;507;Fabricação de aparelhos e equipamentos de  ar condicionado para uso
282410;2,00%;507;Fabricação de aparelhos e equipamentos de  ar condicionado para uso não-
282590;2,00%;507;Fabricação de máquinas e equipamentos par a saneamento básico e
282910;2,00%;507;Fabricação de máquinas de escrever, calcu lar e outros equipamentos não-
282919;2,00%;507;Fabricação de outras máquinas e equipamen tos de uso geral não
283130;2,00%;507;Fabricação de tratores agrícolas, peças e  acessórios
283210;2,00%;507;Fabricação de equipamentos para irrigação  agrícola, peças e acessórios
283300;2,00%;507;Fabricação de máquinas e equipamentos par a a agricultura e pecuária, peças
284020;2,00%;507;Fabricação de máquinas-ferramenta, peças e acessórios
285180;2,00%;507;Fabricação de máquinas e equipamentos par a a prospecção e extração de
285260;2,00%;507;Fabricação de outras máquinas e equipamen tos para uso na extração
285340;2,00%;507;Fabricação de tratores, peças e acessório s, exceto agrícolas
285420;2,00%;507;Fabricação de máquinas e equipamentos par a terraplenagem, pavimentação
286150;2,00%;507;Fabricação de máquinas para a indústria m etalúrgica, peças e acessórios,
286230;2,00%;507;Fabricação de máquinas e equipamentos par a as indústrias de alimentos,
286310;2,00%;507;Fabricação de máquinas e equipamentos par a a indústria têxtil, peças e
286400;2,00%;507;Fabricação de máquinas e equipamentos par a as indústrias do vestuário, do
286580;2,00%;507;Fabricação de máquinas e equipamentos par a as indústrias de celulose,
286660;2,00%;507;Fabricação de máquinas e equipamentos par a a indústria do plástico, peças e
286910;2,00%;507;Fabricação de máquinas e equipamentos par a uso industrial específico não
291070;2,00%;507;Fabricação de automóveis, camionetas e ut ilitários
291070;2,00%;507;Fabricação de chassis com motor para auto móveis, camionetas e utilitários
291070;2,00%;507;Fabricação de motores para automóveis, ca mionetas e utilitários
292040;1,00%;507;Fabricação de caminhões e ônibus
292040;1,00%;507;Fabricação de motores para caminhões e ôn ibus
293010;2,00%;507;Fabricação de cabines, carrocerias e rebo ques para caminhões
